lcode,municipality
40304,Lomanthang Rural Municipality
40401,Annapurna Rural Municipality
40403,Dhawalagiri Rural Municipality
40406,Beni Urban Municipality
40405,Mangala Rural Municipality
40404,Malika Rural Municipality
40402,Raghuganga Rural Municipality
41102,Kathekhola Rural Municipality
41108,Galkot Urban Municipality
41110,Jaimuni Urban Municipality
41105,Dhorpatan Urban Municipality
41104,Tamankhola Rural Municipality
41103,Tarakhola Rural Municipality
41106,Nisikhola Rural Municipality
41101,Baglung Urban Municipality
41107,Badigad Rural Municipality
41109,Bareng Rural Municipality
41003,Kushma Urban Municipality
41002,Jaljala Rural Municipality
41007,Paiyu Rural Municipality
41004,Phalebas Urban Municipality
41005,Mahashila Rural Municipality
41001,Modi Rural Municipality
41006,Bihadi Rural Municipality
50405,Isma Rural Municipality
50401,Kali Gandaki Rural Municipality
50410,Gulmi Durbar Rural Municipality
50403,Chandrakot Rural Municipality
50411,Chhatrakot Rural Municipality
50408,Dhurkot Rural Municipality
50407,Madane Rural Municipality
50406,Malika Rural Municipality
50404,Musikot Urban Municipality
50412,Ruruchhetra Rural Municipality
50409,Resunga Urban Municipality
50402,Satyawoti Rural Municipality
50605,Tansen Urban Municipality
50608,Tinau Rural Municipality
50610,Nisdi Rural Municipality
50602,Purbakhola Rural Municipality
50604,Baganaskali Rural Municipality
50609,Mathagadhi Rural Municipality
50603,Rambha Rural Municipality
50601,Rampur Urban Municipality
50606,Ribdikot Rural Municipality
50607,Rainadevi Chhahara Rural Municipality
50501,Chhatradev Rural Municipality
50505,Panini Rural Municipality
50503,Bhumikasthan Urban Municipality
50502,Malarani Rural Municipality
50504,Sandhikharka Urban Municipality
50506,Shitaganga Urban Municipality
50707,Susta Rural Municipality
50704,Palhinandan Rural Municipality
50706,Pratapapur Rural Municipality
50701,Bardaghat Urban Municipality
50703,Ramgram Urban Municipality
50705,Sarawal Rural Municipality
50702,Sunawal Urban Municipality
50809,Om Satiya Rural Municipality
50804,Kanchan Rural Municipality
50814,Kotahimai Rural Municipality
50805,Gaidahawa Rural Municipality
50808,Tilottama Urban Municipality
50801,Devdaha Urban Municipality
50802,Butwal Sub-Metropolitian City
50816,Marchawari Rural Municipality
50812,Mayadevi Rural Municipality
50810,Rohini Rural Municipality
50813,Lumbini Sanskritik Urban Municipality
50806,Suddhodhan Rural Municipality
50815,Sammarimai Rural Municipality
50811,Siddharthanagar Urban Municipality
50807,Siyari Rural Municipality
50803,Sainamaina Urban Municipality
50907,Kapilbastu Urban Municipality
50905,Krishnanagar Urban Municipality
50901,Banganga Urban Municipality
50902,Buddhabhumi Urban Municipality
50906,Maharajganj Urban Municipality
50909,Mayadevi Rural Municipality
50908,Yasodhara Rural Municipality
50904,Bijayanagar Rural Municipality
50903,Shivaraj Urban Municipality
50910,Shuddhodhan Rural Municipality
50101,Putha Uttanganga Rural Municipality
50103,Bhoome Rural Municipality
50102,Sisne Rural Municipality
50206,Tribeni Rural Municipality
50202,Thawang Rural Municipality
50203,Pariwartan Rural Municipality
50205,Madi Rural Municipality
50208,Runtigadhi Rural Municipality
50207,Rolpa Urban Municipality
50210,Lungri Rural Municipality
50204,Gangadev Rural Municipality
50201,Sunchhahari Rural Municipality
50209,Sunil Smriti Rural Municipality
50308,Aairawati Rural Municipality
50301,Gaumukhi Rural Municipality
50303,Jhimaruk Rural Municipality
50302,Naubahini Rural Municipality
50304,Pyuthan Urban Municipality
50307,Mallarani Rural Municipality
50306,Mandavi Rural Municipality
50309,Sarumarani Rural Municipality
50305,Sworgadwari Urban Municipality
51009,Gadhawa Rural Municipality
51002,Ghorahi Sub-Metropolitian City
51003,Tulsipur Sub-Metropolitian City
51006,Dangisharan Rural Municipality
51001,Bangalachuli Rural Municipality
51005,Babai Rural Municipality
51010,Rajpur Rural Municipality
51008,Rapti Rural Municipality
51007,Lamahi Urban Municipality
51004,Shantinagar Rural Municipality
51102,Kohalpur Urban Municipality
51104,Khajura Rural Municipality
51105,Janaki Rural Municipality
51107,Duduwa Rural Municipality
51108,Narainapur Rural Municipality
51106,Nepalganj Sub-Metropolitian City
51103,Baijanath Rural Municipality
51101,Rapti Sonari Rural Municipality
51207,Gulariya Urban Municipality
51204,Geruwa Rural Municipality
51203,Thakurbaba Urban Municipality
51208,Badhaiyatal Rural Municipality
51202,Barbardiya Urban Municipality
51201,Bansgadhi Urban Municipality
51206,Madhuwan Urban Municipality
51205,Rajapur Urban Municipality
60801,Aathabisakot Urban Municipality
60806,Chaurjahari Urban Municipality
60805,Tribeni Rural Municipality
60803,Banphikot Rural Municipality
60804,Musikot Urban Municipality
60802,Sanibheri Rural Municipality
60910,Kapurkot Rural Municipality
60908,Kalimati Rural Municipality
60902,Kumakh Rural Municipality
60906,Chhatreshwori Rural Municipality
60904,Siddha Kumakh Rural Municipality
60909,Tribeni Rural Municipality
60901,Darma Rural Municipality
60903,Banagad Kupinde Urban Municipality
60905,Bagachour Urban Municipality
60907,Sharada Urban Municipality
60107,Kaike Rural Municipality
60108,Chharka Tangsong Rural Municipality
60103,Jagadulla Rural Municipality
60106,Thulibheri Urban Municipality
60101,Dolpo Buddha Rural Municipality
60105,Tripurasundari Urban Municipality
60104,Mudkechula Rural Municipality
60102,Shey Phoksundo Rural Municipality
60204,Khatyad Rural Municipality
60202,Chhayanath Rara Urban Municipality
60201,Mugumakarmarog Rural Municipality
60203,Soru Rural Municipality
60402,Kanaka Sundari Rural Municipality
60405,Guthichaur Rural Municipality
60404,Chandannath Urban Municipality
60406,Tatopani Rural Municipality
60407,Tila Rural Municipality
60401,Patarasi Rural Municipality
60403,Sinja Rural Municipality
60408,Hima Rural Municipality
60509,Kalika Rural Municipality
60506,Khandachakra Urban Municipality
60507,Tilagupha Urban Municipality
60505,Naraharinath Rural Municipality
60502,Pachal Jharana Rural Municipality
60501,Palata Rural Municipality
60508,Mahawai Rural Municipality
60503,Raskot Urban Municipality
60504,Sanni Tribeni Rural Municipality
60306,Adanchuli Rural Municipality
60302,Kharpunath Rural Municipality
60301,Chankheli Rural Municipality
60307,Tanjakot Rural Municipality
60304,Namkha Rural Municipality
60305,Sarkegad Rural Municipality
60303,Simkot Rural Municipality
60702,Kushe Rural Municipality
60704,Chhedagad Urban Municipality
60703,Junichande Rural Municipality
60707,Nalgad Urban Municipality
60701,Barekot Rural Municipality
60706,Bheri Malika Urban Municipality
60705,Shivalaya Rural Municipality
60605,Aathbis Urban Municipality
60611,Gurans Rural Municipality
60606,Chamunda Bindrasaini Urban Municipality
60604,Thantikandh Rural Municipality
60610,Dungeshwor Rural Municipality
60607,Dullu Urban Municipality
60608,Narayan Urban Municipality
60601,Naumule Rural Municipality
60609,Bhagawatimai Rural Municipality
60603,Bhairabi Rural Municipality
60602,Mahabu Rural Municipality
61004,Gurbhakot Urban Municipality
61002,Chingad Rural Municipality
61009,Chaukune Rural Municipality
61008,Panchapuri Urban Municipality
61007,Barahatal Rural Municipality
61006,Birendranagar Urban Municipality
61005,Bheriganga Urban Municipality
61003,Lekabeshi Urban Municipality
61001,Simta Rural Municipality
70102,Gaumul Rural Municipality
70107,Khaptad Chhededaha Rural Municipality
70109,Tribeni Urban Municipality
70105,Jagannath Rural Municipality
70106,Badimalika Urban Municipality
70108,Budhiganga Urban Municipality
70103,Budhinanda Urban Municipality
70104,Swamikartik Khapar Rural Municipality
70101,Himali Rural Municipality
70708,Kamal bazar Urban Municipality
70705,Chaurpati Rural Municipality
70709,Dhakari Rural Municipality
70710,Turmakhand Rural Municipality
70701,Panchdebal Binayak Urban Municipality
70707,Bannigadhi Jayagadh Rural Municipality
70706,Mangalsen Urban Municipality
70703,Mellekh Rural Municipality
70702,Ramaroshan Rural Municipality
70704,Sanphebagar Urban Municipality
70201,Saipal Rural Municipality
