Lcode,MunicipalityName,GaPa_NaPa
30602,Kageshwori Manahara Urban Municipality,Kageshwori Manahara
30608,Kathmandu Metropolitian City,Kathmandu
30609,Kirtipur Urban Municipality,Kirtipur
30603,Gokarneshwor Urban Municipality,Gokarneshwor
30610,Chandragiri Urban Municipality,Chandragiri
30605,Tokha Urban Municipality,Tokha
30606,Tarakeshwor Urban Municipality,Tarakeshwor
30611,Dakshinkali Urban Municipality,Dakshinkali
30607,Nagarjun Urban Municipality,Nagarjun
30604,Budhanilkhantha Urban Municipality,Budhanilkhantha
30601,Shankharapur Urban Municipality,Shankharapur
30701,Changunarayan Urban Municipality,Changunarayan
30702,Bhaktapur Urban Municipality,Bhaktapur
30703,Madhyapur Thimi Urban Municipality,Madhyapur Thimi
30704,Suryabinayak Urban Municipality,Suryabinayak
30804,Konjyosom Rural Municipality,Konjyosom
30803,Godawari Urban Municipality,Godawari
30806,Bagmati Rural Municipality,Bagmati
30805,Mahankal Rural Municipality,Mahankal
30801,Mahalaxmi Urban Municipality,Mahalaxmi
30802,Lalitpur Metropolitian City,Lalitpur
30913,Khanikhola Rural Municipality,Khanikhola
30901,Chauri Deurali Rural Municipality,Chauri Deurali
30907,Temal Rural Municipality,Temal
30905,Dhulikhel Urban Municipality,Dhulikhel
30908,Namobuddha Urban Municipality,Namobuddha
30909,Panauti Urban Municipality,Panauti
30906,Panchkhal Urban Municipality,Panchkhal
30904,Banepa Urban Municipality,Banepa
30910,Bethanchowk Rural Municipality,Bethanchowk
30902,Bhumlu Rural Municipality,Bhumlu
30903,Mandan Deupur Urban Municipality,Mandan
30912,Mahabharat Rural Municipality,Mahabharat
30911,Roshi Rural Municipality,Roshi
30207,Choutara Sangachowkgadhi Urban Municipality,Choutara Sangachowkgadhi
30202,Jugal Rural Municipality,Jugal
30208,Balephi Rural Municipality,Balephi
30203,Panchpokhari Thangpal Rural Municipality,Panchpokhari Thangpal
30210,Tripurasundari Rural Municipality,Tripurasundari
30201,Bhotekoshi Rural Municipality,Bhotekoshi
30205,Melamchi Urban Municipality,Melamchi
30206,Indrawoti Rural Municipality,Indrawoti
30211,Lisankhu Pakhar Rural Municipality,Lisankhu Pakhar
30209,Bahrabise Urban Municipality,Bahrabise
30212,Sunkoshi Rural Municipality,Sunkoshi
30204,Helambu Rural Municipality,Helambu
31201,Indrasarowar Rural Municipality,Indrasarowar
31203,Kailash Rural Municipality,Kailash
31202,Thaha Urban Municipality,Thaha
31209,Bakaiya Rural Municipality,Bakaiya
31210,Bagmati Rural Municipality,Bagmati
31207,Bhimphedi Rural Municipality,Bhimphedi
31208,Makawanpurgadhi Rural Municipality,Makawanpurgadhi
31205,Manahari Rural Municipality,Manahari
31204,Raksirang Rural Municipality,Raksirang
31206,Hetauda Sub-Metropolitian City,Hetauda
31303,Ichchha Kamana Rural Municipality,Ichchha Kamana
31302,Kalika Urban Municipality,Kalika
31306,Khairahani Urban Municipality,Khairahani
31304,Bharatpur Metropolitian City,Bharatpur
31307,Madi Urban Municipality,Madi
31305,Ratnanagar Urban Municipality,Ratnanagar
31301,Rapti Urban Municipality,Rapti
40102,Ajirkot Rural Municipality,Ajirkot
40105,Aarughat Rural Municipality,Aarughat
40111,Gandaki Rural Municipality,Gandaki
40109,Gorkha Urban Municipality,Gorkha
40101,Chumanubri Rural Municipality,Chumanubri
40104,Dharche Rural Municipality,Dharche
40108,Palungtar Urban Municipality,Palungtar
40106,Bhimsenthapa Rural Municipality,Bhimsenthapa
40110,Shahid Lakhan Rural Municipality,Shahid Lakhan
40107,Siranchowk Rural Municipality,Siranchowk
40103,Barpak Sulikot Rural Municipality,Barpak Sulikot
40203,Chame Rural Municipality,Chame
40201,Narpa Bhumi Rural Municipality,Narpa Bhumi
40204,Nason Rural Municipality,Nason
40202,Manang Ngisyang Rural Municipality,Manang Ngisyang
40603,Kwhola Sothar Rural Municipality,Kwhola Sothar
40608,Dudhapokhari Rural Municipality,Dudhapokhari
40601,Dordi Rural Municipality,Dordi
40605,Bensi Shahar Urban Municipality,Bensi Shahar
40604,Madhya Nepal Urban Municipality,Madhya Nepal
40602,Marshyangdi Rural Municipality,Marshyangdi
40607,Rainas Urban Municipality,Rainas
40606,Sundarbazar Urban Municipality,Sundarbazar
40503,Annapurna Rural Municipality,Annapurna
40504,Pokhara Metropolitian City,Pokhara
40502,Machhapuchchhre Rural Municipality,Machhapuchchhre
40501,Madi Rural Municipality,Madi
40505,Rupa Rural Municipality,Rupa
40710,Aanbu Khaireni Rural Municipality,Aanbu Khaireni
40707,Rhishing Rural Municipality,Rhishing
40706,Ghiring Rural Municipality,Ghiring
40708,Devghat Rural Municipality,Devghat
40709,Bandipur Rural Municipality,Bandipur
40701,Bhanu Urban Municipality,Bhanu
40705,Bhimad Urban Municipality,Bhimad
40703,Myagde Rural Municipality,Myagde
40702,Byas Urban Municipality,Byas
40704,Shuklagandaki Urban Municipality,Shuklagandaki
40904,Arjun Choupari Rural Municipality,Arjun Choupari
40903,Aandhikhola Rural Municipality,Aandhikhola
40911,Kaligandaki Rural Municipality,Kaligandaki
40910,Galyang Urban Municipality,Galyang
40908,Chapakot Urban Municipality,Chapakot
40901,Putalibazar Urban Municipality,Putalibazar
40902,Phedikhola Rural Municipality,Phedikhola
40905,Bhirkot Urban Municipality,Bhirkot
40909,Walling Urban Municipality,Walling
40906,Biruwa Rural Municipality,Biruwa
40907,Harinas Rural Municipality,Harinas
40806,Kawasoti Urban Municipality,Kawasoti
40801,Gaidakot Urban Municipality,Gaidakot
40805,Devchuli Urban Municipality,Devchuli
40803,Baudikali Rural Municipality,Baudikali
40802,Bulingtar Rural Municipality,Bulingtar
40807,Madhya Bindu Urban Municipality,Madhya Bindu
40808,Binayi Tribeni Rural Municipality,Binayi Tribeni
40804,Hupsekot Rural Municipality,Hupsekot
40302,Gharpajhong Rural Municipality,Gharpajhong
40305,Thasang Rural Municipality,Thasang
40301,Lo Ghekar Damodarkunda Rural Municipality,Lo Ghekar Damodarkunda
40303,Varagung Muktichhetra Rural Municipality,Varagung Muktichhetra
40304,Lomanthang Rural Municipality,Lomanthang
40401,Annapurna Rural Municipality,Annapurna
40403,Dhawalagiri Rural Municipality,Dhawalagiri
40406,Beni Urban Municipality,Beni
40405,Mangala Rural Municipality,Mangala
40404,Malika Rural Municipality,Malika
40402,Raghuganga Rural Municipality,Raghuganga
41102,Kathekhola Rural Municipality,Kathekhola
41108,Galkot Urban Municipality,Galkot
41110,Jaimuni Urban Municipality,Jaimuni
41105,Dhorpatan Urban Municipality,Dhorpatan
41104,Tamankhola Rural Municipality,Tamankhola
41103,Tarakhola Rural Municipality,Tarakhola
41106,Nisikhola Rural Municipality,Nisikhola
41101,Baglung Urban Municipality,Baglung
41107,Badigad Rural Municipality,Badigad
41109,Bareng Rural Municipality,Bareng
41003,Kushma Urban Municipality,Kushma
41002,Jaljala Rural Municipality,Jaljala
41007,Paiyu Rural Municipality,Paiyu
41004,Phalebas Urban Municipality,Phalebas
41005,Mahashila Rural Municipality,Mahashila
41001,Modi Rural Municipality,Modi
41006,Bihadi Rural Municipality,Bihadi
50405,Isma Rural Municipality,Isma
50401,Kali Gandaki Rural Municipality,Kali Gandaki
50410,Gulmi Durbar Rural Municipality,Gulmi Durbar
50403,Chandrakot Rural Municipality,Chandrakot
50411,Chhatrakot Rural Municipality,Chhatrakot
50408,Dhurkot Rural Municipality,Dhurkot
50407,Madane Rural Municipality,Madane
50406,Malika Rural Municipality,Malika
50404,Musikot Urban Municipality,Musikot
50412,Ruruchhetra Rural Municipality,Ruruchhetra
50409,Resunga Urban Municipality,Resunga
50402,Satyawoti Rural Municipality,Satyawoti
50605,Tansen Urban Municipality,Tansen
50608,Tinau Rural Municipality,Tinau
50610,Nisdi Rural Municipality,Nisdi
50602,Purbakhola Rural Municipality,Purbakhola
50604,Baganaskali Rural Municipality,Baganaskali
50609,Mathagadhi Rural Municipality,Mathagadhi
50603,Rambha Rural Municipality,Rambha
50601,Rampur Urban Municipality,Rampur
50606,Ribdikot Rural Municipality,Ribdikot
